,x_metric,y_metric,additional_delineation,correlation type,rho,pvalue,Pvalue_Bonferroni,Pvalue_BH,ROI,Structure,Figure X-Position Index
32,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.5833333333333334,0.09918581647988323,1.0,0.25177938029508823,48.0,NAC__Nucleus_accumbens_left,[11]
33,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.6333333333333333,0.06708578689234565,1.0,0.2115542273288485,48.0,NAC__Nucleus_accumbens_left,[11]
34,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,-0.13333333333333333,0.7323675052362975,1.0,0.8480044797472918,55.0,LSN__Lateral_septal_nucleus_left,[12]
35,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.65,0.05807305801714864,1.0,0.20172746469114788,55.0,LSN__Lateral_septal_nucleus_left,[12]
36,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.7999999999999999,0.00962792472537983,0.6354430318750688,0.06354430318750688,55.0,LSN__Lateral_septal_nucleus_left,[12]
37,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,-0.5166666666666667,0.1543901209862251,1.0,0.31842962453408924,61.0,AVT__Anteroventral_thalamic_nucleus_left,[19]
38,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.7999999999999999,0.00962792472537983,0.6354430318750688,0.06354430318750688,61.0,AVT__Anteroventral_thalamic_nucleus_left,[19]
39,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.7999999999999999,0.00962792472537983,0.6354430318750688,0.06354430318750688,61.0,AVT__Anteroventral_thalamic_nucleus_left,[19]
40,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,-0.18333333333333335,0.6368198117628943,1.0,0.7783353254879818,74.0,PFT__Parafascicular_thalamic_nucleus_left,[16]
41,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.8333333333333333,0.00526569102916175,0.34753560792467547,0.06354430318750688,74.0,PFT__Parafascicular_thalamic_nucleus_left,[16]
42,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.8166666666666667,0.007224785246358786,0.47683582625967985,0.06354430318750688,74.0,PFT__Parafascicular_thalamic_nucleus_left,[16]
43,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,-0.5,0.1704706607870538,1.0,0.3214589603413015,78.0,POT__Posterior_nucleus_of_the_thalamus_left,[20]
44,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.7166666666666667,0.029818035695845287,1.0,0.14057073970898493,78.0,POT__Posterior_nucleus_of_the_thalamus_left,[20]
45,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.6166666666666666,0.07692880993776309,1.0,0.2115542273288485,78.0,POT__Posterior_nucleus_of_the_thalamus_left,[20]
46,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,-0.5,0.1704706607870538,1.0,0.3214589603413015,79.0,MGD__Medial_geniculate_nucleus_dorsal_left,[17]
47,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.35,0.35581957250178897,1.0,0.5461416694213506,79.0,MGD__Medial_geniculate_nucleus_dorsal_left,[17]
48,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.3,0.4328453267094823,1.0,0.6078253524005496,79.0,MGD__Medial_geniculate_nucleus_dorsal_left,[17]
49,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,0.03333333333333333,0.932156735540504,1.0,0.9464976083949733,99.0,SUT__Subthalamic_nucleus_left,[13]
50,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.11666666666666665,0.7650079429261462,1.0,0.8557715971716211,99.0,SUT__Subthalamic_nucleus_left,[13]
51,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.049999999999999996,0.8983528043506301,1.0,0.9411315093197077,99.0,SUT__Subthalamic_nucleus_left,[13]
52,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,-0.03333333333333333,0.932156735540504,1.0,0.9464976083949733,110.0,RED__Red_nucleus_left,[18]
53,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.7833333333333333,0.012519873019449882,0.8263116192836922,0.0751192381166993,110.0,RED__Red_nucleus_left,[18]
54,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.6666666666666667,0.0498672305688851,1.0,0.18284651208591204,110.0,RED__Red_nucleus_left,[18]
55,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,-0.5833333333333334,0.09918581647988323,1.0,0.25177938029508823,126.0,FMN__Facial_motor_nucleus_left,[14]
56,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.3666666666666667,0.33173980143301496,1.0,0.534020168160463,126.0,FMN__Facial_motor_nucleus_left,[14]
57,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.31666666666666665,0.4063970144863861,1.0,0.5830913686109017,126.0,FMN__Facial_motor_nucleus_left,[14]
58,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,-0.43333333333333335,0.2439524358800516,1.0,0.4237068623179843,151.0,HGN__Hypoglossal_nucleus_left,[15]
59,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.6166666666666666,0.07692880993776309,1.0,0.2115542273288485,151.0,HGN__Hypoglossal_nucleus_left,[15]
60,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.6166666666666666,0.07692880993776309,1.0,0.2115542273288485,151.0,HGN__Hypoglossal_nucleus_left,[15]
61,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,-0.7166666666666667,0.029818035695845287,1.0,0.14057073970898493,168.0,cst__corticospinal_tract_left,[21]
62,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.09999999999999999,0.797971695234851,1.0,0.8633792112377077,168.0,cst__corticospinal_tract_left,[21]
63,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.0,1.0,1.0,1.0,168.0,cst__corticospinal_tract_left,[21]
64,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,-0.18333333333333335,0.6368198117628943,1.0,0.7783353254879818,169.0,mel__medial_lemniscus_left,[22]
65,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.21666666666666667,0.5755148957119259,1.0,0.7596796623397423,169.0,mel__medial_lemniscus_left,[22]
66,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.25,0.5164895523012263,1.0,0.7101731344141862,169.0,mel__medial_lemniscus_left,[22]
